Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last,Column1
388,Spinetail,Mottled,Telacanthura,ussheri,0.8988,93,5/14/22,0.2177,49,6/17/22,388
389,Spinetail,Böhm's,Neafrapus,boehmi,0.4832,50,5/14/22,0.0622,14,9/12/22,389
390,Mousebird,Speckled,Colius,striatus,53.977,5585,9/26/22,13.8337,3113,9/28/22,390
393,Trogon,Narina,Apaloderma,narina,2.938,304,9/12/22,0.6133,138,8/24/22,393
394,Kingfisher,Pied,Ceryle,rudis,20.1218,2082,9/26/22,3.7906,853,9/28/22,394
395,Kingfisher,Giant,Megaceryle,maxima,4.1171,426,9/18/22,0.8799,198,9/12/22,395
397,Kingfisher,Malachite,Corythornis,cristatus,14.2747,1477,9/26/22,2.2619,509,9/28/22,397
398,Kingfisher,African Pygmy,Ispidina,picta,4.6197,478,9/25/22,0.5466,123,9/28/22,398
399,Kingfisher,Woodland,Halcyon,senegalensis,2.2035,228,9/13/22,0.5288,119,8/26/22,399
400,Kingfisher,Mangrove,Halcyon,senegaloides,3.2666,338,8/27/22,0.6133,138,6/30/22,400
401,Kingfisher,Grey-headed,Halcyon,leucocephala,17.2804,1788,9/25/22,4.1017,923,9/28/22,401
402,Kingfisher,Brown-hooded,Halcyon,albiventris,3.6726,380,9/12/22,0.7688,173,9/18/22,402
403,Kingfisher,Striped,Halcyon,chelicuti,11.9455,1236,9/25/22,2.2042,496,9/26/22,403
404,Bee-eater,European,Merops,apiaster,11.5202,1192,9/26/22,2.1819,491,9/12/22,404
405,Bee-eater,Blue-cheeked,Merops,persicus,2.4741,256,6/14/22,0.5066,114,5/31/22,405
406,Bee-eater,Olive,Merops,superciliosus,3.0347,314,9/2/22,0.5999,135,9/12/22,406
407,Bee-eater,Southern Carmine,Merops,nubicoides,0.0097,1,9/10/16,0,0,-,407
409,Bee-eater,White-fronted,Merops,bullockoides,5.2092,539,9/18/22,1.6442,370,9/25/22,409
410,Bee-eater,Little,Merops,pusillus,15.5214,1606,9/26/22,3.044,685,9/28/22,410
412,Roller,European,Coracias,garrulus,4.958,513,5/14/22,2.5374,571,5/14/22,412
413,Roller,Lilac-breasted,Coracias,caudatus,20.1411,2084,9/26/22,6.8124,1533,9/26/22,413
415,Roller,Purple,Coracias,naevius,2.0199,209,9/25/22,0.6133,138,8/14/22,415
416,Roller,Broad-billed,Eurystomus,glaucurus,2.1359,221,8/27/22,0.4933,111,9/25/22,416
418,Hoopoe,African,Upupa,africana,9.5293,986,9/21/22,2.1419,482,9/16/22,418
419,Wood Hoopoe,Green ,Phoeniculus,purpureus,10.0029,1035,9/13/22,2.022,455,8/21/22,419
420,Wood Hoopoe,Violet ,Phoeniculus,damarensis,0.8408,87,9/9/22,0.1378,31,9/26/22,420
421,Scimitarbill,Common,Rhinopomastus,cyanomelas,4.1075,425,9/4/22,0.8399,189,8/27/22,421
422,Hornbill,Trumpeter,Bycanistes,bucinator,3.3246,344,8/19/22,0.8132,183,9/24/22,422
423,Hornbill,Silvery-cheeked,Bycanistes,brevis,4.3298,448,9/19/22,1.4309,322,9/21/22,423
424,Hornbill,African Grey,Lophoceros,nasutus,9.2104,953,9/26/22,2.5019,563,9/26/22,424
427,Hornbill,Crowned,Lophoceros,alboterminatus,5.3349,552,8/23/22,1.3998,315,9/25/22,427
430,Hornbill,Southern Ground ,Bucorvus,leadbeateri,1.6623,172,9/21/22,0.631,142,9/13/22,430
431,Barbet,Black-collared,Lybius,torquatus,0.6282,65,5/14/22,0.1333,30,2/24/22,431
433,Barbet,White-eared,Stactolaema,leucotis,0.5219,54,9/23/22,0.1244,28,11/7/21,433
435,Barbet,Green,Stactolaema,olivacea,2.5515,264,9/23/22,0.591,133,9/24/22,435
436,Tinkerbird,Red-fronted,Pogoniulus,pusillus,20.2088,2091,9/21/22,3.5773,805,9/26/22,436
437,Tinkerbird,Yellow-fronted,Pogoniulus,chrysoconus,0.1933,20,5/14/22,0.0267,6,4/24/22,437
438,Tinkerbird,Yellow-rumped,Pogoniulus,bilineatus,16.024,1658,9/25/22,2.8085,632,9/28/22,438
440,Honeyguide,Greater,Indicator,indicator,5.6441,584,9/26/22,0.7421,167,9/26/22,440
441,Honeyguide,Scaly-throated,Indicator,variegatus,1.469,152,7/31/22,0.3022,68,9/25/22,441
442,Honeyguide,Lesser,Indicator,minor,6.2917,651,9/12/22,0.6977,157,9/25/22,442
443,Honeybird,Brown-backed,Prodotiscus,regulus,0.4639,48,8/21/22,0.0267,6,9/26/22,443
444,Honeybird,Green-backed,Prodotiscus,zambesiae,2.7351,283,9/14/22,0.2533,57,9/20/22,444
447,Woodpecker,Golden-tailed,Campethera,abingoni,0.174,18,12/12/21,0.0222,5,7/10/21,447
449,Woodpecker,Green-backed,Campethera,cailliautii,0.2803,29,2/9/22,0.0755,17,9/26/22,449
450,Woodpecker,Cardinal,Dendropicos,fuscescens,10.1092,1046,9/18/22,1.2443,280,9/26/22,450
451,Woodpecker,Bearded,Chloropicus,namaquus,2.2905,237,9/9/22,0.2889,65,9/26/22,451
453,Wryneck,Red-throated,Jynx,ruficollis,1.5657,162,9/4/22,0.3866,87,9/24/22,453
454,Broadbill,African,Smithornis,capensis,0.3576,37,9/11/22,0.0267,6,10/17/20,454
455,Pitta,African,Pitta,angolensis,0.0097,1,5/18/22,0,0,-,455
456,Lark,Melodious,Mirafra,cheniana,0.0193,2,9/4/20,0.0222,5,5/21/22,456
458,Lark,Rufous-naped,Mirafra,africana,10.6214,1099,9/26/22,2.7241,613,9/24/22,458
459,Lark,Fawn-colored,Calendulauda,africanoides,3.4213,354,7/3/22,0.5288,119,9/20/22,459
467,Babbler,African Hill,Sylvia,abyssinica,1.5077,156,6/24/22,0.2577,58,5/14/22,467
468,Lark,Flappet,Mirafra,rufocinnamomea,3.4503,357,6/10/22,0.6355,143,9/25/22,468
471,Warbler,Mountain Yellow,Iduna,similis,0.7635,79,9/4/22,0.1778,40,5/17/22,471
476,Weaver,Baglafecht,Ploceus,baglafecht,31.6034,3270,9/25/22,8.8833,1999,9/28/22,476
477,Finch,Oriole,Linurgus,olivaceus,0.145,15,4/4/22,0.0222,5,4/26/20,477
484,Sparrow-Lark,Chestnut-backed ,Eremopterix,leucotis,0.145,15,2/20/22,0.0622,14,4/6/22,484
488,Lark,Red-capped,Calandrella,cinerea,4.9193,509,9/4/22,1.2487,281,9/8/22,488
493,Swallow,Barn,Hirundo,rustica,27.9405,2891,9/18/22,7.6345,1718,9/26/22,493
494,Swallow,Angolan,Hirundo,angolensis,1.5657,162,9/5/22,0.24,54,7/19/22,494
496,Swallow,Wire-tailed,Hirundo,smithii,14.207,1470,9/26/22,2.7819,626,9/28/22,496
497,Swallow,Blue,Hirundo,atrocaerulea,0.0387,4,6/18/22,0.0044,1,10/7/20,497
499,Swallow,Grey-rumped,Pseudhirundo,griseopyga,0.1933,20,3/15/22,0.0533,12,8/6/22,499
500,Swallow,Mosque,Cecropis,senegalensis,2.6288,272,9/2/22,0.5333,120,9/14/22,500
501,Swallow,Red-breasted,Cecropis,semirufa,0.2513,26,4/29/22,0.0578,13,7/31/21,501
503,Swallow,Lesser Striped,Cecropis,abyssinica,20.8466,2157,9/4/22,3.7595,846,9/13/22,503
504,Swallow,South African Cliff ,Petrochelidon,spilodera,0,0,-,0.0089,2,7/6/20,504
506,Martin,Rock,Ptyonoprogne,fuligula,18.1405,1877,9/25/22,3.2929,741,9/28/22,506
507,Martin,Common House,Delichon,urbicum,2.6771,277,7/2/22,0.4355,98,5/29/22,507
508,Martin,Sand,Riparia,riparia,2.4548,254,8/27/22,0.32,72,5/21/22,508
509,Martin,Brown-throated,Riparia,paludicola,11.4236,1182,9/25/22,1.9642,442,9/25/22,509
510,Martin,Banded,Riparia,cincta,2.2519,233,9/26/22,0.3466,78,8/20/22,510
511,Saw-wing,Black (Southern Africa),Psalidoprocne,pristoptera holomelas,15.2701,1580,9/26/22,2.9285,659,9/25/22,511
513,Cuckooshrike,Black,Campephaga,flava,7.8863,816,9/26/22,1.1376,256,9/20/22,513
515,Cuckooshrike,White-breasted ,Ceblepyris,pectoralis,0.0097,1,3/12/15,0,0,-,515
516,Cuckooshrike,Grey ,Ceblepyris,caesius,1.2757,132,9/4/22,0.1733,39,9/20/22,516
517,Drongo,Fork-tailed,Dicrurus,adsimilis,44.0031,4553,9/26/22,0.7643,172,9/26/22,517
518,Drongo,Common Square-tailed,Dicrurus,ludwigii,0.3576,37,9/11/22,0.0444,10,5/24/22,518
519,Oriole,Eurasian Golden,Oriolus,oriolus,5.9727,618,6/24/22,1.2665,285,4/16/22,519
520,Oriole,African Golden,Oriolus,auratus,3.3343,345,7/16/22,0.7999,180,7/7/22,520
521,Oriole,Black-headed,Oriolus,larvatus,23.9586,2479,9/26/22,4.7816,1076,9/28/22,521
522,Crow,Pied,Corvus,albus,34.3674,3556,9/26/22,17.4599,3929,9/28/22,522
523,Crow,Cape,Corvus,capensis,4.0012,414,9/18/22,2.413,543,9/10/22,523
524,Raven,White-necked,Corvus,albicollis,0.4639,48,7/2/22,0.08,18,3/30/22,524
530,Tit,Grey Penduline,Anthoscopus,caroli,0.3189,33,9/2/22,0.0089,2,8/16/21,530
532,Creeper,African Spotted,Salpornis,salvadori,0.0097,1,9/4/22,0.0044,1,11/27/20,532
533,Babbler,Arrow-marked,Turdoides,jardineii,4.9483,512,9/25/22,0.8932,201,9/18/22,533
541,Greenbul,Placid,Phyllastrephus,placidus,0.6862,71,8/21/22,0.1511,34,8/21/22,541
545,Bulbul,Dark-capped,Pycnonotus,tricolor,12.3031,1273,9/25/22,3.7195,837,9/24/22,545
546,Brownbul,Terrestrial,Phyllastrephus,terrestris,0.5702,59,5/14/22,0.1289,29,2/26/22,546
548,Greenbul,Lowland Tiny,Phyllastrephus,debilis,0.6572,68,7/2/22,0.1244,28,5/14/22,548
549,Greenbul,Stripe-cheeked,Arizelocichla,milanjensis,0.174,18,7/2/22,0.0889,20,7/10/22,549
550,Greenbul,Yellow-bellied,Chlorocichla,flaviventris,5.9534,616,9/23/22,1.5998,360,9/25/22,550
551,Greenbul,Sombre,Andropadus,importunus,12.0808,1250,9/23/22,3.3107,745,9/25/22,551
555,Greenbul,Shelley's,Arizelocichla,masukuensis,0.1643,17,9/11/22,0.0311,7,1/4/20,555
556,Thrush,Orange Ground,Geokichla,gurneyi,0.0097,1,7/8/14,0.0044,1,7/10/22,556
558,Thrush,Spotted Ground,Geokichla,guttata,0.1256,13,8/19/22,0.0311,7,11/2/21,558
563,Wheatear,Northern,Oenanthe,oenanthe,6.9875,723,9/26/22,1.7775,400,9/25/22,563
565,Greenbul,Little,Eurillas,virens,0.3866,40,9/23/22,0.0578,13,5/1/22,565
567,Scrub Robin,Rufous-tailed,Cercotrichas,galactotes,1.3724,142,6/18/22,0.1644,37,3/20/22,567
568,Wheatear,Capped,Oenanthe,pileata,0.9181,95,5/13/22,0.3777,85,9/17/22,568
570,Chat,Familiar,Oenanthe,familiaris,0.087,9,12/17/19,0.0089,2,12/20/17,570
573,Chat,Mocking Cliff,Thamnolaea,cinnamomeiventris,1.0148,105,9/2/22,0.2266,51,3/28/22,573
575,Chat,Ant-eating ,Myrmecocichla,formicivora,0.0097,1,10/9/19,0.0089,2,10/18/20,575
576,Stonechat,African,Saxicola,torquatus,7.5094,777,9/25/22,2.0975,472,9/28/22,576
577,,Whinchat,Saxicola,rubetra,1.8556,192,6/30/22,0.2889,65,3/27/22,577
579,Robin-Chat,Red-capped,Cossypha,natalensis,4.3781,453,8/30/22,0.911,205,9/25/22,579
580,Robin-Chat,White-browed,Cossypha,heuglini,22.7312,2352,9/25/22,4.1239,928,9/18/22,580
581,Robin-Chat,Cape,Cossypha,caffra,18.6527,1930,9/25/22,4.435,998,9/25/22,581
585,Scrub Robin,Bearded,Cercotrichas,quadrivirgata,6.9875,723,7/16/22,1.5598,351,9/24/22,585
588,Scrub Robin,White-browed,Cercotrichas,leucophrys,15.8113,1636,9/26/22,2.2175,499,9/17/22,588
589,Robin,White-starred,Pogonocichla,stellata,2.8511,295,9/20/22,0.6488,146,9/14/22,589
591,Akalat,East Coast,Sheppardia,gunningi,0.5219,54,7/2/22,0.1067,24,7/2/22,591
592,Nightingale,Thrush,Luscinia,luscinia,1.3337,138,3/29/22,0.16,36,2/3/22,592
593,Palm Thrush,Collared,Cichladusa,arquata,1.5173,157,7/15/22,0.4533,102,9/1/22,593
594,Whitethroat,Common,Curruca,communis,1.9039,197,4/4/22,0.16,36,3/30/22,594
595,Warbler,Garden,Sylvia,borin,1.1404,118,4/9/22,0.0933,21,3/20/22,595
596,Warbler,Icterine,Hippolais,icterina,0.0097,1,3/26/17,0.0133,3,3/28/21,596
597,Warbler,Olive-tree,Hippolais,olivetorum,0.3673,38,4/4/22,0.0222,5,12/3/21,597
598,Warbler,River,Locustella,fluviatilis,0.3093,32,12/9/21,0.0267,6,12/6/21,598
599,Warbler,Willow,Phylloscopus,trochilus,11.153,1154,9/25/22,1.3065,294,9/18/22,599
600,Eremomela,Yellow-bellied,Eremomela,icteropygialis,2.9091,301,9/5/22,0.2889,65,5/2/22,600
602,Eremomela,Green-capped,Eremomela,scotops,0.1063,11,10/8/21,0.0178,4,2/13/22,602
603,Warbler,Great Reed ,Acrocephalus,arundinaceus,0.2223,23,4/26/22,0.0222,5,11/10/21,603
604,Warbler,Lesser Swamp ,Acrocephalus,gracilirostris,4.1655,431,8/28/22,0.4044,91,8/3/22,604
605,Warbler,Barred,Curruca,nisoria,0.4252,44,12/7/21,0.0711,16,4/6/22,605
606,Warbler,African Reed,Acrocephalus,baeticatus,0.4059,42,6/29/22,0.04,9,7/26/22,606
607,Warbler,Marsh,Acrocephalus,palustris,0.8118,84,4/23/22,0.1422,32,12/15/21,607
608,Warbler,Sedge,Acrocephalus,schoenobaenus,0.6089,63,12/9/21,0.0533,12,5/4/22,608
609,Warbler,Little Rush,Bradypterus,baboecala,2.3678,245,7/13/22,0.1866,42,7/7/22,609
616,Grassbird,Fan-tailed,Catriscus,brevirostris,0.1063,11,7/30/22,0.0222,5,2/13/22,616
617,Warbler,Moustached Grass,Melocichla,mentalis,2.7448,284,8/7/22,0.2755,62,5/29/22,617
622,Apalis,Bar-throated,Apalis,thoracica,0.0097,1,10/18/18,0,0,-,622
623,Apalis,Black-headed,Apalis,melanocephala,3.315,343,9/23/22,0.7954,179,7/7/22,623
625,Apalis,Yellow-breasted,Apalis,flavida,21.4748,2222,9/26/22,2.7774,625,9/14/22,625
627,Camaroptera,Green-backed,Camaroptera,brachyura,8.012,829,9/25/22,1.7642,397,9/24/22,627
628,Camaroptera,Grey-backed,Camaroptera,brevicaudata,36.5517,3782,9/26/22,6.1903,1393,9/25/22,628
629,Cisticola,Zitting,Cisticola,juncidis,1.8749,194,9/26/22,0.3999,90,9/20/22,629
630,Cisticola,Desert,Cisticola,aridulus,1.3337,138,6/17/22,0.2177,49,6/27/22,630
632,Cisticola,Hunter's,Cisticola,hunteri,7.2098,746,9/20/22,2.2575,508,9/5/22,632
634,Cisticola,Wing-snapping,Cisticola,ayresii,0.6959,72,7/30/22,0.2622,59,7/16/22,634
636,Cisticola,Short-winged,Cisticola,brachypterus,2.5418,263,9/5/22,0.2711,61,6/20/22,636
639,Cisticola,Wailing,Cisticola,lais,0.087,9,7/27/17,0.0133,3,1/1/17,639
642,Cisticola,Rattling,Cisticola,chiniana,22.7795,2357,9/26/22,5.3859,1212,9/25/22,642
643,Cisticola,Singing,Cisticola,cantans,13.1149,1357,9/26/22,2.493,561,9/24/22,643
644,Cisticola,Red-faced,Cisticola,erythrops,7.0455,729,9/25/22,0.9377,211,9/2/22,644
646,Cisticola,Levaillant's,Cisticola,tinniens,0.4252,44,7/30/22,0.24,54,7/30/22,646
647,Cisticola,Croaking,Cisticola,natalensis,1.1018,114,9/23/22,0.2266,51,6/14/22,647
649,Prinia,Tawny-flanked,Prinia,subflava,32.3089,3343,9/26/22,5.7415,1292,9/28/22,649
652,Warbler,Evergreen Forest,Bradypterus,lopezi,0.2706,28,7/2/22,0.04,9,9/20/22,652
654,Flycatcher,Spotted,Muscicapa,striata,11.4623,1186,5/14/22,1.8442,415,5/14/22,654
655,Flycatcher,African Dusky,Muscicapa,adusta,9.51,984,9/25/22,1.862,419,9/28/22,655
656,Flycatcher,Ashy,Muscicapa,caerulescens,1.498,155,6/25/22,0.3155,71,7/7/22,656
657,Tit-Flycatcher,Grey,Myioparus,plumbeus,0.1063,11,9/4/21,0.0267,6,5/14/22,657
662,Flycatcher,Pale,Melaenornis,pallidus,11.7425,1215,9/23/22,1.7642,397,9/17/22,662
664,Flycatcher,Southern Black,Melaenornis,pammelaina,5.5088,570,8/28/22,0.831,187,9/17/22,664
666,Warbler,African Yellow ,Iduna,natalensis,6.1081,632,9/25/22,0.5999,135,9/2/22,666
667,Shrike-flycatcher,Black-and-white,Bias,musicus,0.0387,4,10/15/20,0.0044,1,11/7/21,667
668,Hyliota,Southern,Hyliota,australis,0.1933,20,12/25/21,0.0489,11,4/12/21,668
671,Warbler,Yellow-throated Woodland,Phylloscopus,ruficapilla,0.1546,16,7/2/22,0.08,18,7/10/22,671
673,Batis,Chinspot,Batis,molitor,23.2918,2410,9/26/22,3.2485,731,9/28/22,673
675,Batis,Pale,Batis,soror,2.1069,218,8/19/22,0.4888,110,8/21/22,675
677,Wattle-eye,Black-throated,Platysteira,peltata,3.8755,401,9/20/22,0.36,81,9/10/22,677
680,Flycatcher,Blue-mantled Crested,Trochocercus,cyanomelas,0.6959,72,8/19/22,0.1422,32,7/2/22,680
681,Flycatcher,White-tailed Crested,Elminia,albonotata,0.7538,78,9/4/22,0.1022,23,9/20/22,681
682,Flycatcher,African Paradise,Terpsiphone,viridis,36.0588,3731,9/26/22,6.648,1496,9/25/22,682
683,Batis,Forest ,Batis,mixta,0.9858,102,8/19/22,0.1466,33,7/2/22,683
685,Wagtail,African Pied,Motacilla,aguimp,41.8382,4329,9/26/22,12.825,2886,9/28/22,685
686,Wagtail,Cape,Motacilla,capensis,2.7834,288,9/18/22,0.5866,132,8/3/22,686
688,Wagtail,Mountain,Motacilla,clara,3.5952,372,9/7/22,0.7332,165,9/28/22,688
689,Wagtail,Western Yellow,Motacilla,flava,9.4907,982,8/6/22,1.7998,405,9/25/22,689
690,Wagtail,Grey,Motacilla,cinerea,0.4252,44,12/28/21,0.0889,20,2/17/22,690
692,Pipit,African,Anthus,cinnamomeus,16.0916,1665,9/26/22,3.3995,765,9/25/22,692
693,Pipit,Long-billed,Anthus,similis,0.145,15,12/22/21,0.0178,4,5/2/22,693
694,Pipit,Plain-backed,Anthus,leucophrys,4.2041,435,9/4/22,0.8977,202,9/3/22,694
696,Pipit,Striped,Anthus,lineiventris,0.203,21,7/2/22,0.08,18,7/3/22,696
698,Pipit,Tree,Anthus,trivialis,2.6481,274,4/12/22,0.3066,69,5/12/22,698
699,Pipit,Bushveld,Anthus,caffer,0.0773,8,4/23/19,0.0044,1,9/14/19,699
702,Pipit,Golden,Tmetothylacus,tenellus,2.4741,256,8/21/22,1.0487,236,9/25/22,702
704,Longclaw,Yellow-throated,Macronyx,croceus,10.95,1133,9/26/22,1.7553,395,9/19/22,704
705,Longclaw,Rosy-throated,Macronyx,ameliae,1.0824,112,9/13/22,0.2622,59,8/5/22,705
706,Shrike,Lesser Grey,Lanius,minor,1.3724,142,5/1/22,0.2133,48,4/30/22,706
707,Fiscal,Southern ,Lanius,collaris,0.2416,25,10/10/21,0.0489,11,10/16/21,707
708,Shrike,Red-backed,Lanius,collurio,4.9773,515,5/1/22,0.8177,184,5/7/22,708
712,Puffback,Black-backed,Dryoscopus,cubla,24.5095,2536,9/26/22,4.3283,974,9/20/22,712
714,Tchagra,Brown-crowned,Tchagra,australis,9.9449,1029,9/16/22,1.3465,303,9/16/22,714
715,Tchagra,Black-crowned,Tchagra,senegalus,14.3327,1483,9/10/22,3.2929,741,9/13/22,715
716,Tchagra,Marsh,Bocagia,minuta,0.116,12,8/27/22,0.0178,4,7/24/22,716
719,Bushshrike,Orange-breasted,Chlorophoneus,sulfureopectus,10.6988,1107,9/26/22,1.0976,247,9/25/22,719
720,Bushshrike,Black-fronted,Chlorophoneus,nigrifrons,0.7248,75,7/2/22,0.1067,24,6/27/22,720
721,Bushshrike,Gorgeous,Telophorus,viridis,0.9181,95,7/2/22,0.2933,66,8/21/22,721
723,Bushshrike,Grey-headed,Malaconotus,blanchoti,11.1433,1153,9/18/22,2.1019,473,9/26/22,723
724,Shrike,Magpie,Urolestes,melanoleucus,0.1643,17,2/11/22,0.08,18,9/18/22,724
725,Nicator,Eastern,Nicator,gularis,5.9727,618,8/19/22,1.5376,346,7/7/22,725
727,Helmetshrike,White-crested,Prionops,plumatus,3.1893,330,9/21/22,0.6044,136,9/26/22,727
728,Helmetshrike,Retz's,Prionops,retzii,2.9477,305,8/28/22,0.7199,162,8/21/22,728
729,Helmetshrike,Chestnut-fronted,Prionops,scopifrons,2.2615,234,9/23/22,0.6221,140,8/21/22,729
731,,Brubru,Nilaus,afer,10.5055,1087,9/21/22,1.3332,300,9/17/22,731
735,Starling,Wattled,Creatophora,cinerea,8.1086,839,9/18/22,1.9197,432,9/26/22,735
736,Starling,Violet-backed,Cinnyricinclus,leucogaster,8.8238,913,9/18/22,1.2665,285,9/28/22,736
738,Starling,Greater Blue-eared,Lamprotornis,chalybaeus,16.4395,1701,9/25/22,4.4439,1000,9/25/22,738
739,Starling,Miombo Blue-eared,Lamprotornis,elisabeth,0.0773,8,10/6/17,0.0044,1,10/24/15,739
740,Starling,Black-bellied,Notopholia,corusca,8.5919,889,9/23/22,2.1242,478,9/25/22,740
745,Starling,Red-winged,Onychognathus,morio,8.1473,843,9/18/22,2.8396,639,8/26/22,745
747,Oxpecker,Yellow-billed,Buphagus,africanus,4.9193,509,8/28/22,1.0976,247,9/18/22,747
748,Oxpecker,Red-billed,Buphagus,erythrorynchus,13.7624,1424,9/26/22,2.8752,647,9/17/22,748
751,Sunbird,Malachite,Nectarinia,famosa,0.9955,103,7/20/22,0.3555,80,7/16/22,751
752,Sunbird,Bronzy,Nectarinia,kilimensis,25.4277,2631,9/26/22,5.8748,1322,9/28/22,752
754,Sunbird,Copper,Cinnyris,cupreus,0.3286,34,1/8/22,0.04,9,4/24/22,754
755,Sunbird,Marico,Cinnyris,mariquensis,8.7078,901,9/4/22,1.1687,263,9/17/22,755
756,Sunbird,Purple-banded,Cinnyris,bifasciatus,5.1706,535,8/19/22,0.9243,208,9/13/22,756
762,Sunbird,Variable,Cinnyris,venustus,30.4243,3148,9/26/22,6.8346,1538,9/28/22,762
765,Sunbird,Grey,Cyanomitra,veroxii,1.701,176,7/13/22,0.3733,84,9/1/22,765
766,Sunbird,Olive,Cyanomitra,olivacea,9.9836,1033,8/27/22,2.2708,511,9/24/22,766
767,Sunbird,Eastern Double-collared,Cinnyris,mediocris,3.5179,364,9/20/22,0.8443,190,9/20/22,767
769,Sunbird,Plain-backed,Anthreptes,reichenowi,0.6765,70,8/19/22,0.1155,26,7/7/22,769
770,Sunbird,Western Violet-backed,Anthreptes,longuemarei,0.0193,2,9/2/22,0.0044,1,5/9/19,770
771,Sunbird,Collared,Hedydipna,collaris,22.8375,2363,9/23/22,4.6305,1042,9/25/22,771
772,Sunbird,Amethyst,Chalcomitra,amethystina,18.3242,1896,9/25/22,3.124,703,9/25/22,772
774,Sunbird,Scarlet-chested,Chalcomitra,senegalensis,22.3833,2316,9/26/22,3.1996,720,9/28/22,774
777,White-eye,Northern Yellow,Zosterops,senegalensis,3.6242,375,9/1/22,0.5555,125,3/7/22,777
778,Seedeater,Streaky,Crithagra,striolata,22.6056,2339,9/25/22,6.3058,1419,9/28/22,778
779,Weaver,Red-billed Buffalo,Bubalornis,niger,6.195,641,9/21/22,2.5774,580,9/16/22,779
780,Sparrow-Weaver,White-browed ,Plocepasser,mahali,27.5346,2849,9/26/22,10.0387,2259,9/28/22,780
782,Sparrow-Weaver,Chestnut-backed,Plocepasser,rufoscapulatus,0.0097,1,5/1/22,0.0044,1,5/18/19,782
784,Sparrow,House,Passer,domesticus,19.3486,2002,9/24/22,8.8833,1999,9/28/22,784
788,Sparrow,Yellow-throated Bush,Gymnoris,superciliaris,0.145,15,10/7/21,0.0044,1,2/28/21,788
790,Weaver,Dark-backed,Ploceus,bicolor,2.5031,259,9/11/22,0.4177,94,9/24/22,790
791,Weaver,Spectacled,Ploceus,ocularis,16.3622,1693,9/25/22,2.1286,479,9/28/22,791
792,Weaver,Lesser Masked,Ploceus,intermedius,7.8477,812,9/5/22,1.342,302,9/16/22,792
793,Weaver,Red-headed,Anaplectes,rubriceps,7.3838,764,9/26/22,0.9643,217,9/5/22,793
796,Weaver,Chestnut,Ploceus,rubiginosus,5.9921,620,9/25/22,1.0887,245,9/28/22,796
797,Weaver,Village,Ploceus,cucullatus,23.9393,2477,9/25/22,4.6927,1056,9/25/22,797
800,Weaver,Yellow,Ploceus,subaureus,4.6197,478,9/25/22,0.4755,107,9/28/22,800
801,Weaver,Golden,Ploceus,xanthops,10.4475,1081,9/25/22,1.3909,313,9/28/22,801
804,Weaver,Thick-billed,Amblyospiza,albifrons,11.2883,1168,9/21/22,1.0754,242,9/20/22,804
805,Quelea,Red-billed,Quelea,quelea,13.1439,1360,9/26/22,2.573,579,8/10/22,805
806,Quelea,Red-headed,Quelea,erythrops,0.145,15,7/26/21,0.0222,5,5/9/20,806
807,Quelea,Cardinal,Quelea,cardinalis,0.5026,52,8/17/22,0.04,9,8/10/22,807
808,Bishop,Southern Red,Euplectes,orix,1.4014,145,6/21/22,0.12,27,7/20/22,808
809,Bishop,Black-winged Red ,Euplectes,hordeaceus,1.1211,116,9/2/22,0.12,27,7/28/22,809
810,Bishop,Yellow,Euplectes,capensis,9.1911,951,9/18/22,1.7775,400,9/8/22,810
812,Bishop,Yellow-crowned,Euplectes,afer,0.8312,86,5/24/22,0.2133,48,5/8/22,812
813,Widowbird,Red-collared,Euplectes,ardens,5.2866,547,9/25/22,1.031,232,9/28/22,813
814,Widowbird,White-winged,Euplectes,albonotatus,7.0359,728,9/25/22,1.1332,255,9/25/22,814
815,Widowbird,Yellow-mantled,Euplectes,macroura,0.6959,72,7/22/22,0.1644,37,5/21/22,815
816,Widowbird,Fan-tailed,Euplectes,axillaris,1.9909,206,9/5/22,0.4666,105,9/19/22,816
817,Waxbill,Crimson-rumped,Estrilda,rhodopyga,4.1751,432,9/25/22,0.6755,152,6/25/22,817
818,Widowbird,Long-tailed,Euplectes,progne,1.1598,120,9/13/22,0.5999,135,7/16/22,818
821,Finch,Cut-throat,Amadina,fasciata,2.3098,239,9/4/22,0.5866,132,6/24/22,821
822,Mannikin,Magpie,Spermestes,fringilloides,0.0483,5,11/23/19,0,0,-,822
823,Mannikin,Bronze,Spermestes,cucullata,24.9251,2579,9/19/22,4.355,980,9/20/22,823
824,Mannikin,Red-backed,Spermestes,nigriceps,5.3156,550,9/23/22,0.871,196,7/2/22,824
826,Waxbill,Yellow-bellied,Coccopygia,quartinia,2.8317,293,9/4/22,0.4622,104,9/20/22,826
827,Twinspot,Green,Mandingoa,nitidula,0.2899,30,9/19/22,0.0889,20,3/30/22,827
829,Pytilia,Orange-winged,Pytilia,afra,0.0483,5,10/15/20,0.0133,3,10/31/20,829
830,Pytilia,Green-winged,Pytilia,melba,4.1171,426,9/16/22,0.7421,167,9/16/22,830
832,Twinspot,Red-throated,Hypargos,niveoguttatus,0.7442,77,6/25/22,0.0978,22,5/14/22,832
833,Firefinch,African,Lagonosticta,rubricata,3.228,334,9/5/22,1.0576,238,8/31/22,833
834,Seedeater,Reichard's,Crithagra,reichardi,0.058,6,11/18/20,0,0,-,834
